"date","state","value"
2004-01-01,"IL",6.2
2005-01-01,"IL",5.7
2006-01-01,"IL",4.6
2007-01-01,"IL",5.1
2008-01-01,"IL",6.5
2009-01-01,"IL",10
2010-01-01,"IL",10.4
2011-01-01,"IL",9.8
2012-01-01,"IL",9
2013-01-01,"IL",9.1
2014-01-01,"IL",7.2
2015-01-01,"IL",6
2016-01-01,"IL",5.9
2017-01-01,"IL",5
2018-01-01,"IL",4.4
2019-01-01,"IL",4
2020-01-01,"IL",9.3
2021-01-01,"IL",6.1
2022-01-01,"IL",4.6
2023-01-01,"IL",4.5
2024-01-01,"IL",5
2025-01-01,"IL",NA
1976-01-01,"IN",6
1977-01-01,"IN",5.8
1978-01-01,"IN",5.6
1979-01-01,"IN",6.5
1980-01-01,"IN",9.6
1981-01-01,"IN",9.8
1982-01-01,"IN",11.9
1983-01-01,"IN",11.1
1984-01-01,"IN",8.5
1985-01-01,"IN",7.7
1986-01-01,"IN",6.8
1987-01-01,"IN",6.1
1988-01-01,"IN",5.2
1989-01-01,"IN",4.7
1990-01-01,"IN",5.1
1991-01-01,"IN",5.7
1992-01-01,"IN",6.1
1993-01-01,"IN",5.1
1994-01-01,"IN",4.6
1995-01-01,"IN",4.4
1996-01-01,"IN",3.9
1997-01-01,"IN",3.4
1998-01-01,"IN",3
1999-01-01,"IN",2.9
2000-01-01,"IN",3
2001-01-01,"IN",4.2
2002-01-01,"IN",5.1
2003-01-01,"IN",5.2
2004-01-01,"IN",5.4
2005-01-01,"IN",5.4
2006-01-01,"IN",5
2007-01-01,"IN",4.6
2008-01-01,"IN",5.9
2009-01-01,"IN",10.2
2010-01-01,"IN",10
2011-01-01,"IN",8.9
2012-01-01,"IN",8.2
2013-01-01,"IN",7.5
2014-01-01,"IN",6
2015-01-01,"IN",4.8
2016-01-01,"IN",4.4
2017-01-01,"IN",3.5
2018-01-01,"IN",3.4
2019-01-01,"IN",3.3
2020-01-01,"IN",7.4
2021-01-01,"IN",3.9
2022-01-01,"IN",3.1
2023-01-01,"IN",3.5
2024-01-01,"IN",4.2
2025-01-01,"IN",NA
1976-01-01,"IA",4.1
1977-01-01,"IA",4.1
1978-01-01,"IA",3.9
1979-01-01,"IA",4.2
1980-01-01,"IA",6
1981-01-01,"IA",6.5
1982-01-01,"IA",8.4
1983-01-01,"IA",8.2
1984-01-01,"IA",6.9
1985-01-01,"IA",7.4
1986-01-01,"IA",6.8
1987-01-01,"IA",5.6
1988-01-01,"IA",4.7
1989-01-01,"IA",4.4
1990-01-01,"IA",4.4
1991-01-01,"IA",4.7
1992-01-01,"IA",4.5
1993-01-01,"IA",4.2
1994-01-01,"IA",3.6
1995-01-01,"IA",3.5
1996-01-01,"IA",3.6
1997-01-01,"IA",3.1
1998-01-01,"IA",2.9
1999-01-01,"IA",2.7
2000-01-01,"IA",2.7
2001-01-01,"IA",3.3
2002-01-01,"IA",4
2003-01-01,"IA",4.5
2004-01-01,"IA",4.5
2005-01-01,"IA",4.3
2006-01-01,"IA",3.7
2007-01-01,"IA",3.7
2008-01-01,"IA",4.2
2009-01-01,"IA",6.5
2010-01-01,"IA",6.1
2011-01-01,"IA",5.6
2012-01-01,"IA",5
2013-01-01,"IA",4.7
2014-01-01,"IA",4.3
2015-01-01,"IA",3.7
2016-01-01,"IA",3.6
2017-01-01,"IA",3.1
2018-01-01,"IA",2.6
2019-01-01,"IA",2.7
2020-01-01,"IA",5.2
2021-01-01,"IA",3.9
2022-01-01,"IA",2.8
2023-01-01,"IA",2.9
2024-01-01,"IA",3
2025-01-01,"IA",NA
1976-01-01,"KS",4.1
1977-01-01,"KS",3.9
1978-01-01,"KS",3
1979-01-01,"KS",3.1
1980-01-01,"KS",4.5
1981-01-01,"KS",4.3
1982-01-01,"KS",6.4
1983-01-01,"KS",5.9
1984-01-01,"KS",4.9
1985-01-01,"KS",5.1
1986-01-01,"KS",5.4
1987-01-01,"KS",4.8
1988-01-01,"KS",4.5
1989-01-01,"KS",4.1
1990-01-01,"KS",4.3
1991-01-01,"KS",4.5
1992-01-01,"KS",4.6
1993-01-01,"KS",5
1994-01-01,"KS",4.8
1995-01-01,"KS",4.3
1996-01-01,"KS",4.3
1997-01-01,"KS",3.8
1998-01-01,"KS",3.7
1999-01-01,"KS",3.5
2000-01-01,"KS",3.7
2001-01-01,"KS",4.3
2002-01-01,"KS",5.1
2003-01-01,"KS",5.6
2004-01-01,"KS",5.5
2005-01-01,"KS",5.1
2006-01-01,"KS",4.4
2007-01-01,"KS",4.3
2008-01-01,"KS",4.6
2009-01-01,"KS",7
2010-01-01,"KS",6.9
2011-01-01,"KS",6.4
2012-01-01,"KS",5.7
2013-01-01,"KS",5.3
2014-01-01,"KS",4.5
2015-01-01,"KS",4.2
2016-01-01,"KS",4.1
2017-01-01,"KS",3.6
2018-01-01,"KS",3.3
2019-01-01,"KS",3.2
2020-01-01,"KS",5.8
2021-01-01,"KS",3.4
2022-01-01,"KS",2.7
2023-01-01,"KS",2.9
2024-01-01,"KS",3.6
2025-01-01,"KS",NA
1976-01-01,"KY",5.4
1977-01-01,"KY",4.9
1978-01-01,"KY",5.1
1979-01-01,"KY",5.6
1980-01-01,"KY",8
1981-01-01,"KY",8.6
1982-01-01,"KY",10.8
1983-01-01,"KY",11.3
1984-01-01,"KY",9.1
1985-01-01,"KY",9
1986-01-01,"KY",9.2
1987-01-01,"KY",8.3
1988-01-01,"KY",7.4
1989-01-01,"KY",6.3
1990-01-01,"KY",6
1991-01-01,"KY",7.3
1992-01-01,"KY",6.9
1993-01-01,"KY",6.2
1994-01-01,"KY",5.4
1995-01-01,"KY",5.4
1996-01-01,"KY",5.4
1997-01-01,"KY",5.2
1998-01-01,"KY",4.5
1999-01-01,"KY",4.5
2000-01-01,"KY",4.2
2001-01-01,"KY",5.2
2002-01-01,"KY",5.8
2003-01-01,"KY",6.2
2004-01-01,"KY",5.5
2005-01-01,"KY",5.8
2006-01-01,"KY",5.7
2007-01-01,"KY",5.4
2008-01-01,"KY",6.5
2009-01-01,"KY",10.6
2010-01-01,"KY",10.3
2011-01-01,"KY",9.4
2012-01-01,"KY",8.2
2013-01-01,"KY",7.9
2014-01-01,"KY",6.4
2015-01-01,"KY",5.3
2016-01-01,"KY",5.1
2017-01-01,"KY",4.8
2018-01-01,"KY",4.2
2019-01-01,"KY",4.1
2020-01-01,"KY",6.5
2021-01-01,"KY",4.5
2022-01-01,"KY",4.1
2023-01-01,"KY",4.3
2024-01-01,"KY",5.1
2025-01-01,"KY",NA
1976-01-01,"LA",6.6
1977-01-01,"LA",6.9
1978-01-01,"LA",6.8
1979-01-01,"LA",6.7
1980-01-01,"LA",7
1981-01-01,"LA",8.5
1982-01-01,"LA",10.2
1983-01-01,"LA",11.5
1984-01-01,"LA",10.3
1985-01-01,"LA",11.4
1986-01-01,"LA",12.4
1987-01-01,"LA",11.8
1988-01-01,"LA",10.5
1989-01-01,"LA",7.8
1990-01-01,"LA",6.3
1991-01-01,"LA",7.3
1992-01-01,"LA",7.8
1993-01-01,"LA",7.5
1994-01-01,"LA",7.6
1995-01-01,"LA",6.9
1996-01-01,"LA",6.4
1997-01-01,"LA",5.9
1998-01-01,"LA",5.5
1999-01-01,"LA",5
2000-01-01,"LA",5.1
2001-01-01,"LA",5.6
2002-01-01,"LA",6
2003-01-01,"LA",6.2
2004-01-01,"LA",5.7
2005-01-01,"LA",7.1
2006-01-01,"LA",4.1
2007-01-01,"LA",4.1
2008-01-01,"LA",4.7
2009-01-01,"LA",6.7
2010-01-01,"LA",7.4
2011-01-01,"LA",7.3
2012-01-01,"LA",6.7
2013-01-01,"LA",6.4
2014-01-01,"LA",6.2
2015-01-01,"LA",6.3
2016-01-01,"LA",6
2017-01-01,"LA",5.1
2018-01-01,"LA",4.8
2019-01-01,"LA",4.6
2020-01-01,"LA",8.7
2021-01-01,"LA",5.6
2022-01-01,"LA",3.7
2023-01-01,"LA",3.7
2024-01-01,"LA",4.3
2025-01-01,"LA",NA
1976-01-01,"ME",8.6
1977-01-01,"ME",8.4
1978-01-01,"ME",6.4
1979-01-01,"ME",6.6
1980-01-01,"ME",7.5
1981-01-01,"ME",7.2
1982-01-01,"ME",8.5
1983-01-01,"ME",8.3
1984-01-01,"ME",6.2
1985-01-01,"ME",5.6
1986-01-01,"ME",5.3
1987-01-01,"ME",4.3
1988-01-01,"ME",3.7
1989-01-01,"ME",4
1990-01-01,"ME",5.4
1991-01-01,"ME",7.8
1992-01-01,"ME",7.3
1993-01-01,"ME",6.8
1994-01-01,"ME",6.6
1995-01-01,"ME",5.9
1996-01-01,"ME",5.3
1997-01-01,"ME",5.2
1998-01-01,"ME",4.5
1999-01-01,"ME",4
2000-01-01,"ME",3.3
2001-01-01,"ME",3.8
2002-01-01,"ME",4.4
2003-01-01,"ME",5.1
2004-01-01,"ME",4.7
2005-01-01,"ME",4.9
2006-01-01,"ME",4.7
2007-01-01,"ME",4.7
2008-01-01,"ME",5.4
2009-01-01,"ME",8.3
2010-01-01,"ME",8.4
2011-01-01,"ME",7.8
2012-01-01,"ME",7.2
2013-01-01,"ME",6.7
2014-01-01,"ME",5.6
2015-01-01,"ME",4.4
2016-01-01,"ME",3.8
2017-01-01,"ME",3.4
2018-01-01,"ME",3.2
2019-01-01,"ME",2.9
2020-01-01,"ME",5.1
2021-01-01,"ME",4.7
2022-01-01,"ME",2.8
2023-01-01,"ME",2.6
2024-01-01,"ME",3.1
2025-01-01,"ME",NA
1976-01-01,"MD",6.6
1977-01-01,"MD",6.1
1978-01-01,"MD",5.6
1979-01-01,"MD",5.8
1980-01-01,"MD",6.5
1981-01-01,"MD",7.3
1982-01-01,"MD",8.2
1983-01-01,"MD",7
1984-01-01,"MD",5.4
1985-01-01,"MD",4.6
1986-01-01,"MD",4.5
1987-01-01,"MD",4.3
1988-01-01,"MD",4.2
1989-01-01,"MD",3.8
1990-01-01,"MD",4.4
1991-01-01,"MD",5.8
1992-01-01,"MD",6.5
1993-01-01,"MD",6.1
1994-01-01,"MD",5.2
1995-01-01,"MD",5
1996-01-01,"MD",4.9
1997-01-01,"MD",4.9
1998-01-01,"MD",4.2
1999-01-01,"MD",3.4
2000-01-01,"MD",3.6
2001-01-01,"MD",4.1
2002-01-01,"MD",4.5
2003-01-01,"MD",4.5
2004-01-01,"MD",4.3
2005-01-01,"MD",4.2
2006-01-01,"MD",3.9
2007-01-01,"MD",3.4
2008-01-01,"MD",4.3
2009-01-01,"MD",7.1
2010-01-01,"MD",7.8
