"date","state","value"
2024-01-01,"HI",90280.2
2005-01-01,"ID",59331.9
2006-01-01,"ID",60738.6
2007-01-01,"ID",61812.1
2008-01-01,"ID",63878.2
2009-01-01,"ID",61276
2010-01-01,"ID",62626.4
2011-01-01,"ID",62704
2012-01-01,"ID",62007.3
2013-01-01,"ID",64769.8
2014-01-01,"ID",66784.9
2015-01-01,"ID",67790.6
2016-01-01,"ID",70442.5
2017-01-01,"ID",72935.2
2018-01-01,"ID",77652.1
2019-01-01,"ID",81144.3
2020-01-01,"ID",82717.4
2021-01-01,"ID",88969.6
2022-01-01,"ID",92903.7
2023-01-01,"ID",95897.9
2024-01-01,"ID",99603
2005-01-01,"IL",741248.6
2006-01-01,"IL",759825.7
2007-01-01,"IL",769571.6
2008-01-01,"IL",759095.3
2009-01-01,"IL",740794.3
2010-01-01,"IL",755391.4
2011-01-01,"IL",772225.6
2012-01-01,"IL",790723.3
2013-01-01,"IL",795435.2
2014-01-01,"IL",811490.1
2015-01-01,"IL",825424.9
2016-01-01,"IL",826404.7
2017-01-01,"IL",832826.8
2018-01-01,"IL",851517.2
2019-01-01,"IL",858018.3
2020-01-01,"IL",810200.9
2021-01-01,"IL",855888.1
2022-01-01,"IL",876536
2023-01-01,"IL",885651.3
2024-01-01,"IL",895342.5
2005-01-01,"IN",306344.6
2006-01-01,"IN",312525.6
2007-01-01,"IN",322661.7
2008-01-01,"IN",322384.3
2009-01-01,"IN",299789
2010-01-01,"IN",320731.8
2011-01-01,"IN",321532.8
2012-01-01,"IN",323876.3
2013-01-01,"IN",333207.4
2014-01-01,"IN",343827.8
2015-01-01,"IN",341205.2
2016-01-01,"IN",348439.2
2017-01-01,"IN",357535.8
2018-01-01,"IN",368762.9
2019-01-01,"IN",370507.2
2020-01-01,"IN",359787.3
2021-01-01,"IN",387122
2022-01-01,"IN",399280.8
2023-01-01,"IN",404290.3
2024-01-01,"IN",419472.8
2005-01-01,"IA",153626.8
2006-01-01,"IA",155704.5
2007-01-01,"IA",162838.1
2008-01-01,"IA",160469.1
2009-01-01,"IA",156737.2
2010-01-01,"IA",161593.1
2011-01-01,"IA",164559.3
2012-01-01,"IA",170923.8
2013-01-01,"IA",171069.2
2014-01-01,"IA",180310
2015-01-01,"IA",185989.2
2016-01-01,"IA",186729.9
2017-01-01,"IA",187125
2018-01-01,"IA",189245.1
2019-01-01,"IA",188471.4
