"date","abbrev","population","unemployment","bachelors","rgdp_2017","state","legal","legal.year","retailyear","onlineyear","online","retail","tribalonly","notes"
2017,"MN",5569.283,3.4,36.1,354721.9,"Minnesota",0,NA,NA,NA,0,0,0,""
2017,"MO",6111.382,3.8,29.1,311273.8,"Missouri",0,NA,NA,NA,0,0,0,""
2017,"MS",2990.674,5.2,21.9,110281.4,"Mississippi",1,2017,2017,NA,0,1,0,""
2017,"MT",1053.862,4.1,32.3,48470.5,"Montana",1,2019,2019,NA,0,1,0,""
2017,"NC",10275.758,4.6,31.3,546810.2,"North Carolina",1,2019,2019,2023,1,1,0,"retail is tribal"
2017,"ND",756.755,2.6,30.7,56530.2,"North Dakota",1,2018,2018,2018,0,1,1,""
2017,"NE",1916.998,3,31.7,123219.9,"Nebraska",1,2021,2021,NA,0,1,0,""
2017,"NH",1350.395,2.8,36.9,81179.6,"New Hampshire",1,2019,2019,2019,1,1,0,""
2017,"NJ",8888.147,4.5,39.7,590086.8,"New Jersey",1,2018,2018,2018,1,1,0,""
2017,"NM",2092.844,6.1,27.1,93210.1,"New Mexico",1,2018,2018,NA,0,1,1,""
2017,"NV",2972.097,5,24.9,163199.1,"Nevada",1,1949,1949,2010,1,1,0,""
2017,"NY",19593.849,4.6,36,1624800.7,"New York",1,2013,2019,2022,1,1,0,"https://www.deucescracked.com/ny-sports-betting-guide-getting-started-2025-update/"
2017,"OH",11665.706,4.9,28,652187.5,"Ohio",1,2021,2021,2021,1,1,0,""
2017,"OK",3933.602,4,25.5,192538.6,"Oklahoma",0,NA,NA,NA,0,0,0,""
2017,"OR",4147.294,4.1,33.7,225534.6,"Oregon",1,2019,2019,2019,1,1,0,""
2017,"PA",12794.679,5,31.4,754318.1,"Pennsylvania",1,2017,2017,2017,1,1,0,""
2017,"RI",1056.554,4.5,33.5,58771.6,"Rhode Island",1,2018,2018,2019,1,1,0,""
2017,"SC",5027.102,4.2,28,224937.6,"South Carolina",0,NA,NA,NA,0,0,0,""
2017,"SD",873.732,3,28.1,51615.1,"South Dakota",1,2021,2021,NA,0,1,0,""
2017,"TN",6714.748,3.7,27.3,355417.5,"Tennessee",1,2019,NA,2019,1,0,0,""
2017,"TX",28291.024,4.4,29.6,1667313,"Texas",0,NA,NA,NA,0,0,0,""
2017,"UT",3103.54,3.2,34.6,172075,"Utah",0,NA,NA,NA,0,0,0,""
2017,"VA",8471.011,3.6,38.7,515167.2,"Virginia",1,2020,2020,2020,1,1,0,""
2017,"VT",625.132,3,38.3,32589.2,"Vermont",1,2023,NA,2023,1,0,0,""
2017,"WA",7427.951,4.7,35.5,527169.4,"Washington",1,2020,2020,NA,0,1,1,"tribal-only"
2017,"WI",5793.147,3.3,30.4,321886.8,"Wisconsin",1,2021,2021,NA,0,1,1,"tribal-only"
2017,"WV",1818.683,5.2,20.2,75172.5,"West Virginia",1,2018,2018,2018,1,1,0,""
2017,"WY",579.994,4.3,27.6,37620.3,"Wyoming",1,2021,2021,2021,1,1,0,""
2018,"AK",736.624,6.1,30.2,52479.6,"Alaska",0,NA,NA,NA,0,0,0,""
2018,"AL",4891.628,3.9,25.5,220808.8,"Alabama",0,NA,NA,NA,0,0,0,""
2018,"AR",3012.161,3.7,23.3,126371.3,"Arkansas",1,2018,2019,2022,1,1,0,""
